IdCategoria;IdFabricante;Referencia;PartNumber;UpcCode;Peso;Fotografia;Oferta;FechaInicioOferta;FechaFinOferta;Nombre;Resumen;Descripcion;InfoGeneral;EspecificacionesAmpliadas;Accesorios;Stock;FechaStock;Tasas;Coste;DesCategoria;DesFabricante;
263;9105;CV0024;CV0024;;0,000;/CV0024.JPG;0;;;CABLE VGA ALARGARDOR HD15 Macho/Hembra 3.00M CON FILTRO;;;;;;223;;0,00;1,53;Cables y Adaptadores Monitor;LogiLink;
263;9105;CV0025;CV0025;;0,000;/CV0025.JPG;0;;;CABLE VGA ALARGARDOR HD15 Macho/Hembra 5.00M CON FILTRO;;;;;;100;;0,00;2,18;Cables y Adaptadores Monitor;LogiLink;
269;9105;CV0053;CV0053;;0,000;/CV0053.JPG;0;;;CONVERSOR HDMI M/5*RCA 2.00M;;;;;;2;;0,00;19,06;Cables y Conectores;LogiLink;
197;1831;DR5035W;DR5035W;;0,000;/DR5035W.JPG;0;;;;;;;;;5;;0,00;5,99;Cargadores / Transformadores;Duracell;
291;10293;DT01ACA;DT01ACA050;;0,000;/DT01ACA050.JPG;0;;;DISCO DURO 500GB SATA3 TOSHIBA;;;;;;4;;0,90;33,05;Discos Duros Internos;Toshiba;
151;;DYNAMIC 04+;DYNAMIC 04+;;0,000;/DYNAMIC 04+.JPG;0;;;;;;;;;1;;0,00;19,95;Routers;;
121;8077;EMRICK04B;EMRICK04B;;0,000;/EMRICK04B.JPG;0;;;;;;;;;1;;0,00;7,95;Tarjetas Controladoras / Puertos USB-Firewire;Conceptronic;
211;2561;EVLB000607;EVLB000607;;0,000;/EVLB000607.JPG;0;;;;;;;;;1;;0,00;6,95;Tabletas Gráficas;E-Vitta;
228;1;EW5601;EW5601;;0,000;/EW5601.JPG;0;;;;;;;;;0;;0,00;2,29;Accesorios Material oficina;[sin fabricante];
161;;EWD;EWD;;0,000;/EWD.JPG;0;;;;;;;;;1;;0,00;10,95;Tarjetas de red (wireless,wifi,inalámbricas);;
125;6943;FLBD532G6000H;FLBD532G6000HC38ADC01;;0,000;/FLBD532G6000HC38ADC01.JPG;0;;;;;;;;;0;;0,00;122,95;Memorias;TEAM ELITE;
371;9264;FQC-10552;FQC-10552;;0,000;/FQC-10552.JPG;0;;;;;;;;;8;;0,00;92,95;Software SIstemas operativos;Microsoft;
116;8569;GV-N506TEAMOC;GV-N506TEAGLEMAX OC-8GD;;0,000;/GV-N506TEAGLEMAX OC-8GD.JPG;0;;;;;;;;;1;;0,00;349,95;Tarjetas Gráficas / Edición de Video;GIGABYTE;
169;9044;GX40Q17225;GX40Q17225;;0,000;/GX40Q17225.JPG;0;;;;;;;;;2;;0,00;16,95;PDA/smartphone;Lenovo;
140;10293;HDTB510EK3AA;HDTB510EK3AA;;0,000;/HDTB510EK3AA.JPG;0;;;;;;;;;50;;4,00;51,95;Discos Duros Externos;Toshiba;
193;8706;HQ-R2U-AA-01;HQ-R2U-AA-01;;0,000;/HQ-R2U-AA-01.JPG;0;;;BLISTER 4 PILAS RECARGABLES AA 1.2V 2300mA HQ;;;;;;5;;0,00;8,08;Baterías;HQ;
193;8706;HQ-R2U-AAA-01;HQ-R2U-AAA-01;;0,000;/HQ-R2U-AAA-01.JPG;0;;;BLISTER 4 PILAS RECARGABLES AAA 1.2V 900mA HQ;;;;;;3;;0,00;4,07;Baterías;HQ;
110;1;IGG316658;IGG316658;;0,000;/IGG316658.JPG;0;;;;;;;;;0;;0,00;2,95;Accesorios Imagen-sonido;[sin fabricante];
245;8548;INSSD2535BRAC;INSSD2535BRACKET;;0,000;/INSSD2535BRACKET.JPG;0;;;KIT DE MONTAJE SSD 2.5" A 3.5";;;;;;18;;0,00;0,95;Accesorios Almacenamiento;Gembird;
151;1;IUWA-150X;IUWA-150X;;0,000;/IUWA-150X.JPG;0;;;;;;;;;1;;0,00;6,95;Routers;[sin fabricante];
258;9161;K5510.1;K5510.1;;0,000;/K5510.1.JPG;0;;;;;;;;;1;;0,00;0,95;Cables y Adaptadores Ethernet;Manhattan;
224;277;KDCR20325;KDCR20325;;0,000;/KDCR20325.JPG;0;;;;;;;;;13;;0,00;1,50;Baterias SAI-UPS;Kodak;
125;8941;KF432C16BB2A/;KF432C16BB2A/16;;0,000;/KF432C16BB2A/16.JPG;0;;;;;;;;;0;;0,00;99,95;Memorias;Kingston;
125;8941;KF560C36BBE2-;KF560C36BBE2-16;;0,000;/KF560C36BBE2-16.JPG;0;;;;;;;;;4;;0,00;164,95;Memorias;Kingston;
385;8917;KL1171S5AFS-9;KL1171S5AFS-9;;0,000;/KL1171S5AFS-9.JPG;0;;;KASPERSKY ANTIVIRUS 2019 1 LICENCIA;;;;;;13;;0,00;15,95;Software antivirus;Kaspersky Lab;
385;8917;KL1171S5CFS-8;KL1171S5CFS-8;;0,000;/KL1171S5CFS-8.JPG;0;;;ANTIVIRUS KASPERSKY 2018 3 LICENCIAS;;;;;;8;;0,00;19,90;Software antivirus;Kaspersky Lab;
200;9092;KLUSTER;KLUSTER;;0,000;/KLUSTER.JPG;0;;;;;;;;;0;;0,00;22,95;Cajas CPU;L-Link;
125;8941;KVR32N22D8/16;KVR32N22D8/16;;0,000;/KVR32N22D8/16.JPG;0;;;;;;;;;0;;0,00;69,95;Memorias;Kingston;
125;8941;KVR32N22S8/16;KVR32N22S8/16;;0,000;/KVR32N22S8/16.JPG;0;;;;;;;;;0;;0,00;159,95;Memorias;Kingston;
125;8941;KVR56U46BS8-1;KVR56U46BS8-16;;0,000;/KVR56U46BS8-16.JPG;0;;;;;;;;;0;;0,00;159,95;Memorias;Kingston;
